001.001._		M	001	001	_	1	1	1	1	yi1	one	O	noun	1.1	one	O	O						"M:""mid-height"""	
001.001.a		V	001	001	a	1	1	1	1	yi1	dash	D 	noun	1.1	one	O	O	bar	B				"M:""mid-height"""	
001.001.b		V	001	001	b	1	1	1	1	yi1	surface	S	noun	1.1	one	O	O	ground	G		66.48	1	"M:""at bottom"""	
001.001.b		V	001	001	b	2	1	1	2	yi1	surface	S	noun	1.1	one	O	O	horizon	H		76.42	1	"M:""at bottom"""	
001.001.b		V	001	001	b	3	1	1	3	yi1	surface	S	noun	1.1	one	O	O	floor	F		76.42	1	"M:""at bottom"""	
001.001.c		V	001	001	c	1	1	1	1	unk	dot	D	noun	1.1	"{""dot""}"	O	O				35.21	1		
001.001.c		V	001	001	c	2	1	1	1	unk	dot	D	noun	1.1	"{""dot""}"	O	O	mineral	M		35.21	1		
001.001.c		V	001	001	c	3	1	1	2	unk	dot	D	noun	1.1	"{""dot""}"	O	O	contents	C		35.21	1		
001.001.c		V	001	001	c	4	2	2	1	unk	drop	D	noun	{ 161.0.a }	{ drop }	{ D }	D				159.4, 161.1	2		
001.001.d		V	001	001	d	1	1	1	1	yi1	brightness	B	noun	1.1	one	O	O				23.61	1	"M:""at top"""	
001.001.e		V	001	001	e	1	1	1	1	yi1	object	O	noun	1.1	one	O	O				24.2	1		
001.001.f		V	001	001	f	1	1	1	1	unk	hairpin	HP	noun	1.1	one	O	O				39.9	1	"M:""at top"""	
001.001.g		V	001	001	g	1	1	1	1	yi1	heaven	H	noun	1.1	one	O	O	top	T		39.35	1	"M:""at top"""	
001.001.h		V	001	001	h	1	1	1	1	yi1	big-head	H	noun	1.1	one	O	O				39.35	1	"M:""at top"""	
001.001.i		V	001	001	i	1	1	1	1	unk	Dash-hook	DH	noun	Alt( 1.1.a )	Alt( dash )	A( D )	DA	contact	C		44.2	1		
001.001.i		V	001	001	i	2	2	1	2	unk	angle	A	noun	Alt( 1.1.a )	Alt( dash )	A( D )	DA	Angle-bar	AB		44.2	1		
001.001.j		V	001	001	j	1	1	1	1	unk	Bar-barb	BB	noun	Alt( 1.1.a )	Alt( bar )	A( B )	AB	Bar-hook	BH		179.4	1		
001.002._		M	001	002	_	1	1	1	1	er4	two	T	number	Stack( 1.1 )	stack( one )	S( O )	SO'O							
001.015._		O	001	015	_	1	1	1	1	xuan1	Swirl-in-between	SIB	verb	1.1.b / ( 69.1 [] 69.1.a ) / 1.1.b	surface / ( Square [] swirl ) / ground	S / ( S [] S ) / G	SOSESOG				129.5.s	2		
001.015._		O	001	015	_	2	1	2	1	xuan1	Swirl-in-between	SIB	verb	1.2 /\ ( 69.1 [] 69.1.a )	Two /\ ( Square [] swirl )	T /\ ( S [] S )	TO'USES				129.5.s	2		
001.015._		O	001	015	_	3	1	3	1	xuan1	Swirl-in-between	SIB	verb	1.1.b / 76.1 / 1.1.b	surface / sun / ground	S / S / G	SOSOG				129.5.s	2		
001.015._		O	001	015	_	4	1	4	1	xuan1	Swirl-in-between	SIB	verb	1.2 /\ 76.1	Two /\ sun	T /\ S	TO'US				129.5.s	2		
001.019._		M	001	019	_	1	1	1	1	san1	three	T	number	1.1 / 1.2	One / two	O / T	O'OT							
001.039._		M	001	039	_	1	1	1	1	qi1	seven	S	number		seven	S	S							
001.043._		M	001	043	_	1	1	1	1	shang4	up	U			up	U	U							
001.046._		O	001	046	_	1	1	1	1	shi4	revelation	R	noun	1.46	"{""object-on-slab-dripping-blood""}"	R	R					4+		
001.046._		O	001	046	_	2	1	2	1	shi4	revelation	R	noun	1.43 / 1.19	Up / three	U / T	UOT					4+		
001.046._		A	001	046	_	3	2	3	1	shi4	show	R	noun	1.2 / 29.8	Two / small	T / S	TOS					4+		
001.046.a		M	001	046	a	1	1	1	1	shi4	Side-revelation	SR	noun	Dis( 1.46)	dis( revelation )	D( R )	DOR	Revelation-at-Side	RAS			many		
001.068._		M	001	068	_	1	1	1	1	xia4	down	D			down	D	D							
001.070._		M	001	070	_	1	1	1	1	bu4	no	N			climbing-bird	CB	CB	Bird-in-climb	BIC					
